family
Rhinocryptidae
"Sylviidae - Họ Lâm oanh"
"Procellariidae - Họ Hải âu"
"Cathartidae - Họ Kền kền Tân thế giới"
"Paridae - Họ Bạc má"
"Podicipedidae - Họ Chim lặn"
"Passerellidae - Họ Sẻ Tân Thế giới"
Parulidae
"Picidae - Họ Gõ kiến"
"Phasianidae - Họ Trĩ"
"Cuculidae - Họ Cu Cu"
Thraupidae
Polioptilidae
"Cardinalidae - Họ Hồng tước"
"Phasianidae - Họ Trĩ"
"Ardeidae - Họ Diệc"
"Cuculidae - Họ Cu Cu"
Cracidae
"Ramphastidae - Họ Tu căng"
Icteridae
Pityriaseidae
"Chloropseidae - Họ Chim xanh"
"Phasianidae - Họ Trĩ"
"Phalacrocoracidae - Họ Cốc"
Icteridae
"Certhiidae - Họ Đuôi cứng"
Icteridae
"Laridae - Họ Mòng biển"
Mimidae
"Anatidae - Họ Vịt"
"Phasianidae - Họ Trĩ"
"Glareolidae - Họ Dô nách"
Megapodiidae
Bucconidae
"Phasianidae - Họ Trĩ"
"Troglodytidae - Họ Tiêu liêu"
"Cathartidae - Họ Kền kền Tân thế giới"
"Laridae - Họ Mòng biển"
"Odontophoridae - Họ Cút Tân thế giới"
"Picidae - Họ Gõ kiến"
"Fringillidae - Họ Sẻ thông"
"Anatidae - Họ Vịt"
"Sturnidae - Họ Sáo"
"Motacillidae - Họ Chìa vôi"
Parulidae
"Muscicapidae - Họ Đớp ruồi"
"Ardeidae - Họ Diệc"
Cotingidae
"Meropidae - Họ Trảu"
"Laridae - Họ Mòng biển"
"Casuariidae - Họ Đà điểu châu Úc"
"Bombycillidae "
Parulidae
"Charadriidae - Họ Choi choi"
"Psittacidae - Họ Vẹt"
"Fringillidae - Họ Sẻ thông"
"Cuculidae - Họ Cu Cu"
"Phasianidae - Họ Trĩ"
"Ardeidae - Họ Diệc"
"Passerellidae - Họ Sẻ Tân Thế giới"
"Rhinocryptidae "
"Phasianidae - Họ Trĩ"
"Tyrannidae - Họ Đớp ruồi bạo chúa"
"Tyrannidae - Họ Đớp ruồi bạo chúa"
"Anatidae - Họ Vịt"
"Podicipedidae - Họ Chim lặn"
"Corvidae - Họ Quạ"
Cotingidae
"Cacatuidae - Họ Vẹt mào"
"Ramphastidae - Họ Tu căng"
Melanopareiidae
Regulidae
Icteridae
"Hirundinidae - Họ Én"
"Aegithinidae - Họ Chim nghệ"
Gaviidae
"Caprimulgidae - Họ Cú muỗi"
"Sturnidae - Họ Sáo"
"Megalaimidae - Họ Cu rốc"
"Cuculidae - Họ Cu Cu"
Dromadidae
"Accipitridae - Họ Ưng"
"Picidae - Họ Gõ kiến"
Alcidae
"Falconidae - Họ Cắt"
"Cuculidae - Họ Cu Cu"
"Phasianidae - Họ Trĩ"
"Alcedinidae - Họ Bồng chanh"
"Sittidae - Họ Trèo cây"
Icteridae
"Accipitridae - Họ Ưng"
Pachycephalidae
"Phasianidae - Họ Trĩ"
Petroicidae
"Nectariniidae - Họ Hút mật"
"Corvidae - Họ Quạ"
Todidae
"Trogonidae - Họ Nuốc"
"Ramphastidae - Họ Tu căng"
Lybiidae
"Pelecanidae - Họ Bồ nông"
"Picidae - Họ Gõ kiến"
"Passerellidae - Họ Sẻ Tân Thế giới"
"Muscicapidae - Họ Đớp ruồi"
"Gruidae - Họ Sếu"
"Estrildidae - Họ Chim di"
"Phalacrocoracidae - Họ Cốc"
"Psittaculidae - Họ Vẹt"
"Picidae - Họ Gõ kiến"
"Scolopacidae - Họ Rẽ"
"Psittaculidae - Họ Vẹt"
Petroicidae
"Pittidae - Họ Đuôi cụt"
"Turdidae - Họ Hoét"
"Psittaculidae - Họ Vẹt"
"Ploceidae - Họ Rồng rộc"
Icteridae
"Psittaculidae - Họ Vẹt"
"Passerellidae - Họ Sẻ Tân Thế giới"
"Caprimulgidae - Họ Cú muỗi"
Petroicidae
"Trochilidae - Họ Chim ruồi"
"Anatidae - Họ Vịt"
"Trogonidae - Họ Nuốc"
"Phasianidae - Họ Trĩ"
"Thraupidae "
Spheniscidae
"Dromaiidae "
"Sturnidae - Họ Sáo"
"Fringillidae - Họ Sẻ thông"
"Oriolidae - Họ Vàng anh"
"Corvidae - Họ Quạ"
"Fringillidae - Họ Sẻ thông"
"Columbidae - Họ Bồ câu"
"Fringillidae - Họ Sẻ thông"
"Irenidae - Họ Chim lam"
Spheniscidae
"Laridae - Họ Mòng biển"
"Ploceidae - Họ Rồng rộc"
"Troglodytidae - Họ Tiêu liêu"
"Campephagidae - Họ Phường chèo"
Spheniscidae
"Irenidae - Họ Chim lam"
"Ptilonorhynchidae - Họ Chim tổ lều"
"Cardinalidae - Họ Hồng tước"
"Motacillidae - Họ Chìa vôi"
"Fregatidae - Họ Cốc biển "
"Columbidae - Họ Bồ câu"
"Odontophoridae - Họ Cút Tân thế giới"
"Cacatuidae - Họ Vẹt mào"
"Picidae - Họ Gõ kiến"
"Picidae - Họ Gõ kiến"
"Threskiornithidae - Họ chim diệc"
Musophagidae
Parulidae
"Ptilonorhynchidae - Họ Chim tổ lều"
Parulidae
"Fringillidae - Họ Sẻ thông"
"Accipitridae - Họ Ưng"
"Psittacidae - Họ Vẹt"
"Phasianidae - Họ Trĩ"
"Motacillidae - Họ Chìa vôi"
"Estrildidae - Họ Chim di"
"Muscicapidae - Họ Đớp ruồi"
Mimidae
"Tyrannidae - Họ Đớp ruồi bạo chúa"
"Phasianidae - Họ Trĩ"
"Phasianidae - Họ Trĩ"
"Strigidae - Họ Cú mèo"
Galbulidae
"Tyrannidae - Họ Đớp ruồi bạo chúa"
Nyctibiidaev
Tinamidae
"Furnariidae "
"Tyrannidae - Họ Đớp ruồi bạo chúa"
"Phasianidae - Họ Trĩ"
"Phasianidae - Họ Trĩ"
"Eurylaimidae - Họ Mỏ rộng"
"Corvidae - Họ Quạ"
"Corvidae - Họ Quạ"
"Columbidae - Họ Bồ câu"
"Campephagidae - Họ Phường chèo"
Cracidae
"Accipitridae - Họ Ưng"
"Charadriidae - Họ Choi choi"
"Cuculidae - Họ Cu Cu"
Musophagidae
"Numididae - Họ Gà Phi"
"Pittidae - Họ Đuôi cụt"
"Falconidae - Họ Cắt"
"Scopidae "
"Anatidae - Họ Vịt"
"Phasianidae - Họ Trĩ"
"Accipitridae - Họ Ưng"
"Anatidae - Họ Vịt"
"Fringillidae - Họ Sẻ thông"
Vangidae
"Cardinalidae - Họ Hồng tước"
"Muscicapidae - Họ Đớp ruồi"
"Phasianidae - Họ Trĩ"
Opisthocomidae
"Anatidae - Họ Vịt"
"Upupidae - Chi Đầu rìu"
Cracidae
"Alaudidae - Họ Sơn ca"
"Trochilidae - Họ Chim ruồi"
"Fringillidae - Họ Sẻ thông"
"Passeridae - Họ Sẻ"
"Psittacidae - Họ Vẹt"
"Corvidae - Họ Quạ"
Ibidorhynchidae
"Phalacrocoracidae - Họ Cốc"
"Laridae - Họ Mòng biển"
"Otididae - Họ Ô tác"
"Pittidae - Họ Đuôi cụt"
"Coraciidae - Họ Sả rừng"
"Accipitridae - Họ Ưng"
"Cardinalidae - Họ Hồng tước"
"Muscicapidae - Họ Đớp ruồi"
"Charadriidae - Họ Choi choi"
"Ramphastidae - Họ Tu căng"
"Laridae - Họ Mòng biển"
"Fringillidae - Họ Sẻ thông"
"Ciconiidae - Họ Hạc"
"Scolopacidae - Họ Rẽ"
"Columbidae - Họ Bồ câu"
"Psittacidae - Họ Vẹt"
"Muscicapidae - Họ Đớp ruồi"
"Estrildidae - Họ Chim di"
Grallariidae
Rhynochetidae
"Strigopidae - Họ Vẹt New Zealand"
"Charadriidae - Họ Choi choi"
"Anatidae - Họ Vịt"
"Cathartidae - Họ Kền kền Tân thế giới"
Apterygidae
"Anatidae - Họ Vịt"
"Alcedinidae - Họ Bồng chanh"
Calcariidae
"Laridae - Họ Mòng biển"
"Cardinalidae - Họ Hồng tước"
"Ciconiidae - Họ Hạc"
"Coraciidae - Họ Sả rừng"
Aramidae
Alcidae
"Laniidae - Họ Bách thanh"
"Strigidae - Họ Cú mèo"
"Trochilidae - Họ Chim ruồi"
Anseranatidae
"Bucerotidae - Họ Hồng hoàng"
"Alcedinidae - Họ Bồng chanh"
"Zosteropidae - Họ Vành khuyên"
Megapodiidae
"Anatidae - Họ Vịt"
"Anatidae - Họ Vịt"
"Cuculidae - Họ Cu Cu"
"Ciconiidae - Họ Hạc"
"Odontophoridae - Họ Cút Tân thế giới"
"Sulidae - Họ Chim điên"
"Charadriidae - Họ Choi choi"
Calcariidae
"Falconidae - Họ Cắt"
"Phasianidae - Họ Trĩ"
"Psittacidae - Họ Vẹt"
"Columbidae - Họ Bồ câu"
"Sturnidae - Họ Sáo"
"Columbidae - Họ Bồ câu"
"Meliphagidae - Họ Ăn mật"
"Tyrannidae - Họ Đớp ruồi bạo chúa"
"Cardinalidae - Họ Hồng tước"
"Picidae - Họ Gõ kiến"
"Procellariidae - Họ Hải âu"
"Sulidae - Họ Chim điên"
"Accipitridae - Họ Ưng"
"Jacanidae.  Họ Gà lôi nước"
Mimidae
Parulidae
"Ploceidae - Họ Rồng rộc"
"Anatidae - Họ Vịt"
"Phasianidae - Họ Trĩ"
Steatornithidae
"Rallidae - Họ Gà nước"
"Trogonidae - Họ Nuốc"
"Cardinalidae - Họ Hồng tước"
"Tytonidae - Họ Cú lợn"
"Accipitridae - Họ Ưng"
"Pandionidae - Họ Ó cá"
Struthionidae
Parulidae
"Haematopodidae "
"Cardinalidae - Họ Hồng tước"
"Fringillidae - Họ Sẻ thông"
"Accipitridae - Họ Ưng"
"Thraupidae "
Alcidae
Paridae
"Thraupidae "
"Phasianidae - Họ Trĩ"
"Falconidae - Họ Cắt"
Ptiliogonatidae
"Accipitridae - Họ Ưng"
Petroicidae
"Corvidae - Họ Quạ"
"Stercorariidae - Họ Chim cướp biển"
Alcidae
"Anatidae - Họ Vịt"
"Fringillidae - Họ Sẻ thông"
"Rallidae - Họ Gà nước"
"Hirundinidae - Họ Én"
"Rallidae - Họ Gà nước"
"Alcedinidae - Họ Bồng chanh"
"Cardinalidae - Họ Hồng tước"
"Trogonidae - Họ Nuốc"
"Psittaculidae - Họ Vẹt"
Alcidae
Meropidae
"Pittidae - Họ Đuôi cụt"
"Estrildidae - Họ Chim di"
"Estrildidae - Họ Chim di"
"Fringillidae - Họ Sẻ thông"
"Phalacrocoracidae - Họ Cốc"
Parulidae
"Ploceidae - Họ Rồng rộc"
"Anatidae - Họ Vịt"
"Picidae - Họ Gõ kiến"
"Scolopacidae - Họ Rẽ"
"Thraupidae "
"Trogonidae - Họ Nuốc"
"Accipitridae - Họ Ưng"
"Accipitridae - Họ Ưng"
"Leiothrichidae - Họ Kim oanh"
Icteridae
"Pycnonotidae - Họ Chào mào"
"Ptilonorhynchidae - Họ Chim tổ lều"
"Phasianidae - Họ Trĩ"
"Cuculidae - Họ Cu Cu"
"Columbidae - Họ Bồ câu"
"Cacatuidae - Họ Vẹt mào"
"Cardinalidae - Họ Hồng tước"
"Threskiornithidae - Họ chim diệc"
"Psittaculidae - Họ Vẹt"
"Accipitridae - Họ Ưng"
Tityridae
Regulidae
"Trochilidae - Họ Chim ruồi"
"Anatidae - Họ Vịt"
"Alcedinidae - Họ Bồng chanh"
"Alcedinidae - Họ Bồng chanh"
"Corvidae - Họ Quạ"
Momotidae
"Hirundinidae - Họ Én"
"Gruidae - Họ Sếu"
"Phasianidae - Họ Trĩ"
"Tyrannidae - Họ Đớp ruồi bạo chúa"
"Columbidae - Họ Bồ câu"
"Leiothrichidae - Họ Kim oanh"
"Threskiornithidae - Họ chim diệc"
"Psittacidae - Họ Vẹt"
"Cardinalidae - Họ Hồng tước"
Balaenicipitidae
"Scolopacidae - Họ Rẽ"
Calcariidae
"Anatidae - Họ Vịt"
"Phasianidae - Họ Trĩ"
"Ardeidae - Họ Diệc"
"Strigidae - Họ Cú mèo"
"Charadriidae - Họ Choi choi"
Chionidae
"Rallidae - Họ Gà nước"
Cotingidae
Maluridae
"Scolopacidae - Họ Rẽ"
"Ptilonorhynchidae - Họ Chim tổ lều"
"Anatidae - Họ Vịt"
"Ardeidae - Họ Diệc"
"Corvidae - Họ Quạ"
"Anatidae - Họ Vịt"
"Alcedinidae - Họ Bồng chanh"
"Falconidae - Họ Cắt"
"Strigidae - Họ Cú mèo"
Pipridae
"Hirundinidae - Họ Én"
"Turdidae - Họ Hoét"
Eurypygidae
"Sturnidae - Họ Sáo"
"Anatidae - Họ Vịt"
"Phasianidae - Họ Trĩ"
"Cisticolidae - Họ Chiền chiện"
"Corvidae - Họ Quạ"
"Rallidae - Họ Gà nước"
"Rallidae - Họ Gà nước"
"Podargidae - Họ Cú muỗi mỏ quặp"
"Anatidae - Họ Vịt"
Paridae
"Ramphastidae - Họ Tu căng"
Parulidae
"Hirundinidae - Họ Én"
Icteridae
"Tyrannidae - Họ Đớp ruồi bạo chúa"
"Anatidae - Họ Vịt"
"Cathartidae - Họ Kền kền Tân thế giới"
Momotidae
Cotingidae
"Turdidae - Họ Hoét"
"Turdidae - Họ Hoét"
Icteridae
"Remizidae - Họ Phàn tước"
"Tyrannidae - Họ Đớp ruồi bạo chúa"
"Columbidae - Họ Bồ câu"
"Sturnidae - Họ Sáo"
"Cuculidae - Họ Cu Cu"
"Hirundinidae - Họ Én"
Musophagidae
"Bucerotidae - Họ Hồng hoàng"
"Numididae - Họ Gà Phi"
Tichodromidae
Cracidae
"Charadriidae - Họ Choi choi"
"Scolopacidae - Họ Rẽ"
"Rallidae - Họ Gà nước"
"Rallidae - Họ Gà nước"
Musophagidae
"Bucerotidae - Họ Hồng hoàng"
"Trochilidae - Họ Chim ruồi"
"Corvidae - Họ Quạ"
"Phaethontidae - Họ Chim nhiệt đới"
"Meropidae - Họ Trảu"
"Phasianidae - Họ Trĩ"
"Phasianidae - Họ Trĩ"
"Paradisaeidae - Họ Chim thiên đường"
"Anatidae - Họ Vịt"
"Turdidae - Họ Hoét"
"Alcedinidae - Họ Bồng chanh"
"Sylviidae - Họ Lâm oanh"
"Dicaeidae - Họ Chim sâu"
Icteriidae
Icteridae
Icteridae
"Columbidae - Họ Bồ câu"
