bird_order
"Anseriformes - Bộ Ngỗng"
"Galliformes - Bộ Gà"
"Accipitriformes - Bộ Ưng"
"Anseriformes - Bộ Ngỗng"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Galliformes - Bộ Gà "
Opisthocomiformes
"Anseriformes - Bộ Ngỗng"
"Bucerotiformes - Bộ Đầu rìu"
"Galliformes - Bộ Gà"
"Passeriformes - Bộ Sẻ"
"Apodiformes - Bộ Yến"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Psittaciformes - Bộ Vẹt"
"Passeriformes - Bộ Sẻ"
"Charadriiformes - Bộ Cun cút"
"Suliformes - Bộ Chim điên"
"Charadriiformes - Bộ Cun cút"
"Otidiformes - Bộ Ô tác"
"Passeriformes - Bộ Sẻ"
"Coraciiformes - Bộ Sả"
"Accipitriformes - Bộ Ưng"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Charadriiformes - Bộ Cun cút"
"Piciformes - Bộ Gõ kiến"
"Charadriiformes - Bộ Cun cút"
"Passeriformes - Bộ Sẻ"
"Ciconiiformes - Bộ Hạc"
"Charadriiformes - Bộ Cun cút"
"Columbiformes - Bộ Bồ câu"
"Psittaciformes - Bộ Vẹt"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Gruiformes - Bộ Sếu"
"Psittaciformes - Bộ Vẹt"
"Charadriiformes - Bộ Cun cút"
"Anseriformes - Bộ Ngỗng"
"Accipitriformes - Bộ Ưng"
Apterygiformes
"Anseriformes - Bộ Ngỗng"
"Coraciiformes - Bộ Sả"
"Passeriformes - Bộ Sẻ"
"Charadriiformes - Bộ Cun cút"
"Passeriformes - Bộ Sẻ"
"Ciconiiformes - Bộ Hạc"
"Coraciiformes - Bộ Sả"
"Gruiformes - Bộ Sếu"
"Charadriiformes - Bộ Cun cút"
"Passeriformes - Bộ Sẻ"
"Strigiformes - Bộ Cú"
"Trochiliformes - Bộ Yến"
"Anseriformes - Bộ Ngỗng"
"Bucerotiformes - Bộ Đầu rìu"
"Coraciiformes - Bộ Sả"
"Passeriformes - Bộ Sẻ"
"Galliformes - Bộ Gà"
"Anseriformes - Bộ Ngỗng"
"Anseriformes - Bộ Ngỗng"
"Cuculiformes - Bộ Cu cu"
"Pelecaniformes - Bộ Bồ nông"
"Galliformes - Bộ Gà"
"Suliformes - Bộ Chim điên"
"Charadriiformes - Bộ Cun cút"
"Passeriformes - Bộ Sẻ"
"Falconiformes - Bộ Cắt"
"Galliformes - Bộ Gà"
"Psittaciformes - Bộ Vẹt"
"Columbiformes - Bộ Bồ câu"
"Passeriformes - Bộ Sẻ"
"Columbiformes - Bộ Bồ câu"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Piciformes - Bộ Gõ kiến"
"Procellariiformes - Bộ Hải âu"
"Suliformes - Bộ Chim điên"
"Accipitriformes - Bộ Ưng"
"Charadriiformes - Bộ Cun cút"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Anseriformes - Bộ Ngỗng"
"Galliformes - Bộ Gà"
Steatornithiformes
"Gruiformes - Bộ Sếu"
"Trogoniformes - Bộ Nuốc"
"Passeriformes - Bộ Sẻ"
"Strigiformes - Bộ Cú"
"Accipitriformes - Bộ Ưng"
"Accipitriformes - Bộ Ưng"
Struthioniformes
"Passeriformes - Bộ Sẻ"
"Charadriiformes - Bộ Cun cút"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Accipitriformes - Bộ Ưng"
"Passeriformes - Bộ Sẻ"
"Charadriiformes - Bộ Cun cút"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Galliformes - Bộ Gà"
